RECID|RTYPE|DOCNO|SEQNO|PICNO|PICNOT|PICTGL|PRDCD|NAMA|DIV|QTY|SJ_QTY|PRICE|GROSS|PPNRP|HPP|TOKO|KETER|TANGGAL1|TANGGAL2|DOCNO2|LT|RAK|BAR|KIRIM|DUS_NO|PPN_RATE|BKP|SUB_BKP
*||2463748|1|901064||23-03-2024|10003517|INDOMI GORENG SPC 80|1|80|80|2555.237|204418.96|22486.086|2555.237|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437004|11|Y|Y
*||2463748|2|901064||23-03-2024|10015532|AQUA AIR MINERAL 330|1|48|48|1373.131|65910.288|7250.132|1373.131|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437003|11|Y|Y
*||2463748|3|901064||23-03-2024|20024324|INDOMI ST.BN KUIT 75|1|40|40|2577.318|103092.72|11340.199|2577.318|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437003|11|Y|Y
*||2463748|4|901064||23-03-2024|20027166|IDM FAC.TISSUE NP220|2|30|30|8293.684|248810.52|27369.157|8293.684|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437004|11|Y|Y
*||2463748|5|901064||23-03-2024|20091654|COCO BIT SP.GUAV 350|1|12|12|5334.84|64018.08|7041.989|5334.84|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437003|11|Y|Y
*||2463748|6|901064||23-03-2024|20085988|LE MINERALE 1500ML|1|12|12|3941.067|47292.804|5202.208|3941.067|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437003|11|Y|Y
*||2463748|7|901064||23-03-2024|10000975|POP MIE AYAM 75G|1|24|24|3811.705|91480.92|10062.901|3811.705|T7G5|Z-|25-03-2024|23-03-2024|901064||||GI44|020063437001|11|Y|Y
*||2463748|8|901064||23-03-2024|20087541|FS MLT BRS S.RMS 5KG|1|5|5|69345|346725|38139.75|69345|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437003|11|Y|P
*||2463748|9|901064||23-03-2024|20087542|GOLDA COFF.DOLCE 200|1|24|24|2353.596|56486.304|6213.493|2353.596|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437002|11|Y|Y
*||2463748|10|901064||23-03-2024|20019631|SOSRO TEH BTL TPK 1L|1|12|12|7060.813|84729.756|9320.273|7060.813|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437001|11|Y|Y
*||2463748|11|901064||23-03-2024|20021029|QTELA KRPK BLDO 180G|1|12|12|11402.996|136835.952|15051.955|11402.996|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437001|11|Y|Y
*||2463748|12|901064||23-03-2024|20045181|SARIMI GOR.AYM KK125|1|24|24|3230.348|77528.352|8528.119|3230.348|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437001|11|Y|Y
*||2463748|13|901064||23-03-2024|20045419|MAMY/P PANTS STD M32|3|4|4|57535.8|230143.2|25315.752|57535.8|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437003|11|Y|Y
*||2463748|14|901064||23-03-2024|20062818|FRUITAMIN LYCHE 350|1|12|12|5334.84|64018.08|7041.989|5334.84|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437002|11|Y|Y
*||2463748|15|901064||23-03-2024|20078207|GMP GULA PASIR 1KG|1|60|60|15577.5|934650|102811.5|15577.5|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437003|11|Y|L
*||2463748|16|901064||23-03-2024|20119970|RM SNDOK+GARPU PLSTK|6|500|500|384.423|192211.5|21143.265|384.423|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437004|11|Y|Y
*||2463748|17|901064||23-03-2024|20123322|GOLDA CAPPUCCINO 200|1|24|24|2353.596|56486.304|6213.493|2353.596|T7G5|Z-|25-03-2024|23-03-2024|901064||||GI44|020063437002|11|Y|Y
*||2463748|18|901064||23-03-2024|20129966|N/P MINUMAN LIME 330|1|12|12|2667.446|32009.352|3521.029|2667.446|T7G5|0-|25-03-2024|23-03-2024|901064||||GI44|020063437002|11|Y|Y
